"","sample_name","alignment_file","alignment_file_dir","isPairedEnd","strand_specificity","study","samplesheet_path"
"12","GSM5333293","GSM5333293_mature_hairpin_genome.sorted.bam","/nemo/lab/patanir/home/users/palk/Projects/0006-phase-condensation-of-repeats-in-neurons/analysis/00-manuscript/41-magen-et-al-miRNA-seq/nfcore/genome_quant/bam/",FALSE,2,"magen-et-al-miRNA-seq","/nemo/lab/patanir/home/users/palk/Projects/0006-phase-condensation-of-repeats-in-neurons//analysis/00-manuscript/41-magen-et-al-miRNA-seq/input_files/run-table.csv"
"13","GSM5333297","GSM5333297_mature_hairpin_genome.sorted.bam","/nemo/lab/patanir/home/users/palk/Projects/0006-phase-condensation-of-repeats-in-neurons/analysis/00-manuscript/41-magen-et-al-miRNA-seq/nfcore/genome_quant/bam/",FALSE,2,"magen-et-al-miRNA-seq","/nemo/lab/patanir/home/users/palk/Projects/0006-phase-condensation-of-repeats-in-neurons//analysis/00-manuscript/41-magen-et-al-miRNA-seq/input_files/run-table.csv"
"14","GSM5333299","GSM5333299_mature_hairpin_genome.sorted.bam","/nemo/lab/patanir/home/users/palk/Projects/0006-phase-condensation-of-repeats-in-neurons/analysis/00-manuscript/41-magen-et-al-miRNA-seq/nfcore/genome_quant/bam/",FALSE,2,"magen-et-al-miRNA-seq","/nemo/lab/patanir/home/users/palk/Projects/0006-phase-condensation-of-repeats-in-neurons//analysis/00-manuscript/41-magen-et-al-miRNA-seq/input_files/run-table.csv"
"15","GSM5333300","GSM5333300_mature_hairpin_genome.sorted.bam","/nemo/lab/patanir/home/users/palk/Projects/0006-phase-condensation-of-repeats-in-neurons/analysis/00-manuscript/41-magen-et-al-miRNA-seq/nfcore/genome_quant/bam/",FALSE,2,"magen-et-al-miRNA-seq","/nemo/lab/patanir/home/users/palk/Projects/0006-phase-condensation-of-repeats-in-neurons//analysis/00-manuscript/41-magen-et-al-miRNA-seq/input_files/run-table.csv"
"16","GSM5333301","GSM5333301_mature_hairpin_genome.sorted.bam","/nemo/lab/patanir/home/users/palk/Projects/0006-phase-condensation-of-repeats-in-neurons/analysis/00-manuscript/41-magen-et-al-miRNA-seq/nfcore/genome_quant/bam/",FALSE,2,"magen-et-al-miRNA-seq","/nemo/lab/patanir/home/users/palk/Projects/0006-phase-condensation-of-repeats-in-neurons//analysis/00-manuscript/41-magen-et-al-miRNA-seq/input_files/run-table.csv"
"17","GSM5333302","GSM5333302_mature_hairpin_genome.sorted.bam","/nemo/lab/patanir/home/users/palk/Projects/0006-phase-condensation-of-repeats-in-neurons/analysis/00-manuscript/41-magen-et-al-miRNA-seq/nfcore/genome_quant/bam/",FALSE,2,"magen-et-al-miRNA-seq","/nemo/lab/patanir/home/users/palk/Projects/0006-phase-condensation-of-repeats-in-neurons//analysis/00-manuscript/41-magen-et-al-miRNA-seq/input_files/run-table.csv"
"18","GSM5333305","GSM5333305_mature_hairpin_genome.sorted.bam","/nemo/lab/patanir/home/users/palk/Projects/0006-phase-condensation-of-repeats-in-neurons/analysis/00-manuscript/41-magen-et-al-miRNA-seq/nfcore/genome_quant/bam/",FALSE,2,"magen-et-al-miRNA-seq","/nemo/lab/patanir/home/users/palk/Projects/0006-phase-condensation-of-repeats-in-neurons//analysis/00-manuscript/41-magen-et-al-miRNA-seq/input_files/run-table.csv"
"19","GSM5333306","GSM5333306_mature_hairpin_genome.sorted.bam","/nemo/lab/patanir/home/users/palk/Projects/0006-phase-condensation-of-repeats-in-neurons/analysis/00-manuscript/41-magen-et-al-miRNA-seq/nfcore/genome_quant/bam/",FALSE,2,"magen-et-al-miRNA-seq","/nemo/lab/patanir/home/users/palk/Projects/0006-phase-condensation-of-repeats-in-neurons//analysis/00-manuscript/41-magen-et-al-miRNA-seq/input_files/run-table.csv"
"20","GSM5333307","GSM5333307_mature_hairpin_genome.sorted.bam","/nemo/lab/patanir/home/users/palk/Projects/0006-phase-condensation-of-repeats-in-neurons/analysis/00-manuscript/41-magen-et-al-miRNA-seq/nfcore/genome_quant/bam/",FALSE,2,"magen-et-al-miRNA-seq","/nemo/lab/patanir/home/users/palk/Projects/0006-phase-condensation-of-repeats-in-neurons//analysis/00-manuscript/41-magen-et-al-miRNA-seq/input_files/run-table.csv"
"21","GSM5333308","GSM5333308_mature_hairpin_genome.sorted.bam","/nemo/lab/patanir/home/users/palk/Projects/0006-phase-condensation-of-repeats-in-neurons/analysis/00-manuscript/41-magen-et-al-miRNA-seq/nfcore/genome_quant/bam/",FALSE,2,"magen-et-al-miRNA-seq","/nemo/lab/patanir/home/users/palk/Projects/0006-phase-condensation-of-repeats-in-neurons//analysis/00-manuscript/41-magen-et-al-miRNA-seq/input_files/run-table.csv"
