Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,source_name,SRA Study,disease,Group,condition
SRR14631734,miRNA-Seq,75,867729000,PRJNA713778,SAMN19317385,326122934,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX10971581,GSM5333293,NextSeq 550,SINGLE,size fractionation,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-06-07T00:00:00Z,2021-05-24T13:14:00Z,1,GSM5333293,Blood plasma,SRP310247,,,Healthy control
SRR14631738,miRNA-Seq,75,1030681950,PRJNA713778,SAMN19317381,407424449,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX10971585,GSM5333297,NextSeq 550,SINGLE,size fractionation,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-06-07T00:00:00Z,2021-05-24T13:16:00Z,1,GSM5333297,Blood plasma,SRP310247,,,Healthy control
SRR14631740,miRNA-Seq,75,2517512100,PRJNA713778,SAMN19317379,997612087,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX10971624,GSM5333299,NextSeq 550,SINGLE,size fractionation,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-06-07T00:00:00Z,2021-05-24T13:22:00Z,1,GSM5333299,Blood plasma,SRP310247,,,Healthy control
SRR14631741,miRNA-Seq,75,1231581750,PRJNA713778,SAMN19317378,484323017,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX10971625,GSM5333300,NextSeq 550,SINGLE,size fractionation,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-06-07T00:00:00Z,2021-05-24T13:17:00Z,1,GSM5333300,Blood plasma,SRP310247,,,Healthy control
SRR14631742,miRNA-Seq,75,851561925,PRJNA713778,SAMN19317377,339411850,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX10971626,GSM5333301,NextSeq 550,SINGLE,size fractionation,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-06-07T00:00:00Z,2021-05-24T13:16:00Z,1,GSM5333301,Blood plasma,SRP310247,,,Healthy control
SRR14631743,miRNA-Seq,75,531327225,PRJNA713778,SAMN19317376,207987959,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX10971627,GSM5333302,NextSeq 550,SINGLE,size fractionation,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-06-07T00:00:00Z,2021-05-24T13:15:00Z,1,GSM5333302,Blood plasma,SRP310247,,,Healthy control
SRR14631746,miRNA-Seq,75,594903975,PRJNA713778,SAMN19317369,232253452,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX10971630,GSM5333305,NextSeq 550,SINGLE,size fractionation,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-06-07T00:00:00Z,2021-05-24T13:16:00Z,1,GSM5333305,Blood plasma,SRP310247,,,Healthy control
SRR14631747,miRNA-Seq,75,536204850,PRJNA713778,SAMN19317368,210366529,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX10971631,GSM5333306,NextSeq 550,SINGLE,size fractionation,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-06-07T00:00:00Z,2021-05-24T13:15:00Z,1,GSM5333306,Blood plasma,SRP310247,,,Healthy control
SRR14631748,miRNA-Seq,75,476894550,PRJNA713778,SAMN19317367,186320354,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX10971632,GSM5333307,NextSeq 550,SINGLE,size fractionation,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-06-07T00:00:00Z,2021-05-24T13:15:00Z,1,GSM5333307,Blood plasma,SRP310247,,,Healthy control
SRR14631749,miRNA-Seq,75,987247950,PRJNA713778,SAMN19317366,393785822,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX10971633,GSM5333308,NextSeq 550,SINGLE,size fractionation,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-06-07T00:00:00Z,2021-05-24T13:17:00Z,1,GSM5333308,Blood plasma,SRP310247,,,Healthy control
SRR14631750,miRNA-Seq,75,996275850,PRJNA713778,SAMN19317373,395235898,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX10971634,GSM5333309,NextSeq 550,SINGLE,size fractionation,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-06-07T00:00:00Z,2021-05-24T13:18:00Z,1,GSM5333309,Blood plasma,SRP310247,,,Healthy control
SRR14631753,miRNA-Seq,75,613061850,PRJNA713778,SAMN19317365,241980191,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX10971637,GSM5333312,NextSeq 550,SINGLE,size fractionation,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-06-07T00:00:00Z,2021-05-24T13:17:00Z,1,GSM5333312,Blood plasma,SRP310247,,,Healthy control
SRR14631754,miRNA-Seq,75,676467000,PRJNA713778,SAMN19317402,271338361,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX10971638,GSM5333313,NextSeq 550,SINGLE,size fractionation,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-06-07T00:00:00Z,2021-05-24T13:17:00Z,1,GSM5333313,Blood plasma,SRP310247,,,Healthy control
SRR14631757,miRNA-Seq,75,652258050,PRJNA713778,SAMN19317399,262443424,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX10971588,GSM5333316,NextSeq 550,SINGLE,size fractionation,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-06-07T00:00:00Z,2021-05-24T13:17:00Z,1,GSM5333316,Blood plasma,SRP310247,,,Healthy control
SRR14631758,miRNA-Seq,75,583400400,PRJNA713778,SAMN19317398,232100479,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX10971589,GSM5333317,NextSeq 550,SINGLE,size fractionation,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-06-07T00:00:00Z,2021-05-24T13:18:00Z,1,GSM5333317,Blood plasma,SRP310247,,,Healthy control
SRR14631760,miRNA-Seq,75,780199350,PRJNA713778,SAMN19317396,313663582,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX10971591,GSM5333319,NextSeq 550,SINGLE,size fractionation,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-06-07T00:00:00Z,2021-05-24T13:19:00Z,1,GSM5333319,Blood plasma,SRP310247,,,Healthy control
SRR14631761,miRNA-Seq,75,439651275,PRJNA713778,SAMN19317395,173555825,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX10971592,GSM5333320,NextSeq 550,SINGLE,size fractionation,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-06-07T00:00:00Z,2021-05-24T13:18:00Z,1,GSM5333320,Blood plasma,SRP310247,,,Healthy control
SRR14631764,miRNA-Seq,75,790514850,PRJNA713778,SAMN19317468,314205716,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX10971595,GSM5333323,NextSeq 550,SINGLE,size fractionation,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-06-07T00:00:00Z,2021-05-24T13:19:00Z,1,GSM5333323,Blood plasma,SRP310247,,,Healthy control
SRR14631765,miRNA-Seq,75,947009100,PRJNA713778,SAMN19317467,379027352,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX10971596,GSM5333324,NextSeq 550,SINGLE,size fractionation,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-06-07T00:00:00Z,2021-05-24T13:20:00Z,1,GSM5333324,Blood plasma,SRP310247,,,Healthy control
