molecule	from_var	from_value	to_var	to_value	contrast_name	group
vcp-tyzack-2021	timepoint	d35	timepoint	d35	mut_loc_d35	1
vcp-tyzack-2021	condition	vcp	condition	vcp	mut_loc_d35	1
vcp-tyzack-2021	fraction	nuc	fraction	cyt	wt_loc_d0	1
vcp-tyzack-2021	timepoint	d0	timepoint	d0	wt_loc_d0	1
vcp-tyzack-2021	condition	ctrl	condition	ctrl	wt_loc_d0	1
vcp-tyzack-2021	fraction	nuc	fraction	cyt	wt_loc_d3	1
vcp-tyzack-2021	timepoint	d3	timepoint	d3	wt_loc_d3	1
vcp-tyzack-2021	condition	ctrl	condition	ctrl	wt_loc_d3	1
vcp-tyzack-2021	fraction	nuc	fraction	cyt	wt_loc_d7	1
vcp-tyzack-2021	timepoint	d7	timepoint	d7	wt_loc_d7	1
vcp-tyzack-2021	condition	ctrl	condition	ctrl	wt_loc_d7	1
vcp-tyzack-2021	fraction	nuc	fraction	cyt	wt_loc_d14	1
vcp-tyzack-2021	timepoint	d14	timepoint	d14	wt_loc_d14	1
vcp-tyzack-2021	condition	ctrl	condition	ctrl	wt_loc_d14	1
vcp-tyzack-2021	fraction	nuc	fraction	cyt	wt_loc_d22	1
vcp-tyzack-2021	timepoint	d22	timepoint	d22	wt_loc_d22	1
vcp-tyzack-2021	condition	ctrl	condition	ctrl	wt_loc_d22	1
vcp-tyzack-2021	fraction	nuc	fraction	cyt	wt_loc_d35	1
vcp-tyzack-2021	timepoint	d35	timepoint	d35	wt_loc_d35	1
vcp-tyzack-2021	condition	ctrl	condition	ctrl	wt_loc_d35	1
